Furnished,Price(L),Bedrooms,Bathrooms,Area(in sqft),Filtered Locality
Semi-Furnished,"           	 			           	 			16,000           	 		",2,2,950,Nagar
Unfurnished,"           	 			           	 			13,500           	 		",2,2,1200,Nagar
Unfurnished,"           	 			           	 			11,000           	 		",2,2,1000,Ali
Unfurnished,"12,000",2,2,1000,Ring
Furnished,"17,500",3,2,1400,Bandlaguda
Semi-Furnished,"13,000",2,2,1080,Banda
Semi-Furnished,"10,000",2,2,1800,"Puram,"
Unfurnished,"30,000",2,2,1312,Narsingi
Furnished,"22,000",3,1,1620,"Nagar,"
Unfurnished,"16,000",2,1,975,Chowki
Unfurnished,"15,000",3,2,1200,Nallakunta
Semi-Furnished,"10,000",3,2,1520,Peerzadiguda
Furnished,"18,500",2,1,950,Chintal
Unfurnished,"15,000",3,2,1400,Secunderabad
Semi-Furnished,"22,000",2,3,1400,Nagar
Furnished,"15,000",2,3,870,Ali
Semi-Furnished,"17,000",3,1,1450,Colony
Semi-Furnished,"14,000",2,2,1200,Chowki
Unfurnished,"8,500",2,2,800,Meerpet
Semi-Furnished,"40,000",3,2,1870,Gachibowli
Furnished,"30,000",2,2,900,Hafeezpet
Semi-Furnished,"13,000",2,2,1145,Secunderabad
Furnished,"50,000",3,3,1950,Banjara Hills
Semi-Furnished,"25,000",3,2,1200,"Khairatabad,"
Semi-Furnished,"25,000",3,2,1568,junction
Furnished,"35,000",3,2,1800,"Khairatabad,"
Unfurnished,"6,500",2,2,1000,Karimnagar
Semi-Furnished,"8,000",2,2,500,road
Semi-Furnished,"20,000",2,2,1045,Mehdipatnam
Unfurnished,"15,000",2,2,1350,Attapur
Semi-Furnished,"38,000",3,2,2560,Kompally
Unfurnished,"40,000",4,1,3000, 
Semi-Furnished,"40,000",3,2,1800,Banjara Hills
Semi-Furnished,"30,000",3,2,2200,Manikonda
Furnished,"37,000",3,2,1800,Gachibowli
Unfurnished,"15,000",2,2,1350,LB Nagar
Unfurnished,"38,000",4,2,2400,Ameerpet
Semi-Furnished,"12,000",2,1,1200,Uppal
Semi-Furnished,"23,000",2,2,1370,Ring
Semi-Furnished,"18,000",3,2,1500,Manikonda
Unfurnished,"16,000",3,2,1400,Nallakunta
Furnished,"35,000",3,2,1280,Kondapur
Unfurnished,"24,000",2,2,1200,Kondapur
Semi-Furnished,"17,000",3,1,1750,Hafeezpet
Semi-Furnished,"18,000",2,1,1000,Nagole
Unfurnished,"32,000",3,2,1980,Kondapur
Semi-Furnished,"16,500",2,3,900,Begumpet
Unfurnished,"10,000",2,2,1008,Hyderabad
Furnished,"26,000",2,1,1200,Gachibowli
Semi-Furnished,"15,000",3,1,1350,Nizampet
Semi-Furnished,"11,000",2,2,1000,Narayanguda
Furnished,"30,000",2,2,1200,Gachibowli
Semi-Furnished,"30,000",3,2,1710,Kukatpally
Unfurnished,"11,000",2,1,1000,LB Nagar
Unfurnished,"23,000",3,2,1250,Kukatpally
Semi-Furnished,"30,000",2,1,1314,Narsingi
Semi-Furnished,"15,000",2,1,1050,Tank
Semi-Furnished,"18,000",2,2,1200,Nizampet
Unfurnished,"12,000",2,1,1200,Gandhi
Semi-Furnished,"14,000",2,2,1050,Gandhi
Semi-Furnished,"21,000",3,2,1680,Narsingi
Unfurnished,"8,000",2,1,135,Hyderabad
Semi-Furnished,"15,000",2,3,2000,LB Nagar
Furnished,"25,000",3,2,1900,"Punjagutta,"
Unfurnished,"10,000",2,2,1000,Nagar
Unfurnished,"15,000",2,3,1300,Attapur
Unfurnished,"12,000",2,2,1160,Gajularamara
Semi-Furnished,"26,000",3,2,1500,Colony
Unfurnished,"7,000",2,2,1250,Neredmet
Semi-Furnished,"22,000",2,2,1250,Gachibowli
Semi-Furnished,"12,000",2,2,1160,Dilsukh Nagar
Semi-Furnished,"9,000",2,2,1100,Alwal
Semi-Furnished,"9,000",2,2,960,Secunderabad
Unfurnished,"5,000",2,1,900,Nagar
Semi-Furnished,"19,500",3,2,1650,Attapur
Semi-Furnished,"15,000",3,2,2000,ECIL
Semi-Furnished,"25,000",2,1,1400,Manikonda
Semi-Furnished,"20,000",3,2,1400,Kukatpally
Semi-Furnished,"8,500",2,1,890,Nagar
Semi-Furnished,"7,500",3,2,1525,Gajularamara
Furnished,"50,000",3,2,2894,Gachibowli
Furnished,"34,000",2,1,1314,Guda
Semi-Furnished,"23,000",2,2,1141,Kondapur
Unfurnished,"8,500",2,1,850,Falaknuma
Semi-Furnished,"12,000",2,2,1050,Colony
Semi-Furnished,"19,000",2,2,1400,Suchitra
Semi-Furnished,"15,000",2,2,1115,Hyderabad
Semi-Furnished,"27,000",3,2,1600,Serilingampally
Semi-Furnished,"38,000",3,2,2500,Hyderguda
Semi-Furnished,"35,000",3,2,1600,Hitech City
Semi-Furnished,"13,500",2,2,1150,Nagole
Unfurnished,"15,000",2,2,1120,"Moosarambagh,"
Unfurnished,"10,000",3,2,1458,Hayathnagar
Unfurnished,"15,000",2,2,1230,junction
Unfurnished,"12,000",2,2,1080,Nagar
Semi-Furnished,"49,000",3,3,3000,Banjara Hills
Semi-Furnished,"14,000",2,2,980,Amberpet
Semi-Furnished,"20,000",3,2,1350,Shaikpet
Semi-Furnished,"23,000",3,1,1436,Nallakunta
Semi-Furnished,"15,000",3,2,1510,Medchal
Semi-Furnished,"23,000",3,2,1800,"Nagar,"
Semi-Furnished,"22,000",3,2,2400,Nagar
Unfurnished,"40,000",3,3,2000,Begumpet
Semi-Furnished,"22,000",3,3,1440,"Malakpet,"
Semi-Furnished,"16,500",3,2,1340,Aminpur
Semi-Furnished,"15,000",3,2,950,Tombs
Semi-Furnished,"35,000",3,2,2600,junction
Semi-Furnished,"20,000",3,1,1900,Tombs
Unfurnished,"16,000",2,2,1050,Attapur
Unfurnished,"7,500",2,2,850,Nagaram
Semi-Furnished,"48,000",3,2,2700,Manikonda
Unfurnished,"11,000",2,1,850,hydernagar
Semi-Furnished,"20,000",3,3,1900,Nizampet
Unfurnished,"15,000",3,2,1200,Nallakunta
Semi-Furnished,"14,000",3,2,1500,Alwal
Unfurnished,"12,000",2,1,750,Bachupally
Semi-Furnished,"15,000",2,2,1215,Aminpur
Unfurnished,"15,000",2,2,1245,Hafeezpet
Semi-Furnished,"45,000",4,2,2311,Gachibowli
Unfurnished,"23,000",3,1,2240,Ring
Semi-Furnished,"14,000",2,2,1350,Nizampet
Furnished,"40,000",3,2,1550,Narayanguda
Furnished,"25,000",2,2,1300,Nagar
Semi-Furnished,"36,000",3,3,2160,"Nagar,"
Unfurnished,"16,000",3,2,1630,Boduppal
Unfurnished,"12,500",2,2,780,Kothapet
Unfurnished,"10,000",2,2,1500,Nagar
Unfurnished,"15,000",3,2,1650,Miyapur
Semi-Furnished,"20,500",3,2,1625,Mallapur
Semi-Furnished,"25,000",3,2,1414,Miyapur
Semi-Furnished,"14,500",2,3,1200,Suchitra
Unfurnished,"15,000",2,1,1000,Hyderabad
Unfurnished,"32,000",3,2,1335,Hitech City
Furnished,"32,000",2,2,1200,Kondapur
Semi-Furnished,"13,000",2,2,2200,Chowki
Unfurnished,"20,000",3,1,1850,Nizampet
Semi-Furnished,"9,500",2,2,1000,Vayupuri
Semi-Furnished,"35,000",3,2,1650,"Nagar,"
Unfurnished,"9,000",2,1,1000,Secunderabad
Semi-Furnished,"16,000",3,2,1800,"Malakpet,"
Semi-Furnished,"30,000",3,2,1735,"Nagar,"
Semi-Furnished,"16,000",3,2,1500,Manikonda
Furnished,"44,000",2,1,1048,Gachibowli
Semi-Furnished,"50,000",3,2,2187,Hitech City
Semi-Furnished,"22,000",3,2,1600,Miyapur
Semi-Furnished,"14,000",2,1,1000,Attapur
Unfurnished,"15,000",2,2,100,Chowki
Semi-Furnished,"15,000",3,2,1698,Hyderabad
Semi-Furnished,"33,000",3,2,1800,Nagar
Semi-Furnished,"12,000",2,1,1250,Nizampet
Semi-Furnished,"40,000",4,3,3000,Ring
Unfurnished,"12,000",2,1,1000,Bowenpally
Unfurnished,"           	 			           	 			16,000           	 		",2,1,1000,Chikkadpally
Semi-Furnished,"           	 			           	 			18,000           	 		",2,1,1050,"Malakpet,"
Semi-Furnished,"           	 			           	 			11,000           	 		",2,1,1000,Chevella
Semi-Furnished,"           	 			           	 			12,000           	 		",2,1,1350,Bandlaguda
Unfurnished,"           	 			           	 			18,000           	 		",3,2,1450,Kukatpally
Semi-Furnished,"           	 			           	 			14,000           	 		",3,1,1100,Chowki
Semi-Furnished,"           	 			           	 			29,000           	 		",3,2,1755,Puppalaguda
Semi-Furnished,"           	 			           	 			13,000           	 		",2,2,1300,"Puram,"
Unfurnished,"           	 			           	 			22,000           	 		",3,1,1500,Nallakunta
Furnished,"           	 			           	 			45,000           	 		",3,3,2005,Whitefields
Semi-Furnished,"           	 			           	 			26,000           	 		",3,2,1800,Manikonda
Semi-Furnished,"           	 			           	 			27,000           	 		",3,4,1600,Kachiguda
Semi-Furnished,"           	 			           	 			23,000           	 		",4,1,2000,Chowki
Unfurnished,"           	 			           	 			18,500           	 		",3,2,1650,Miyapur
Unfurnished,"           	 			           	 			20,000           	 		",2,2,1000,Colony
Semi-Furnished,"           	 			           	 			17,000           	 		",3,2,1453,Ring
Unfurnished,"           	 			           	 			17,000           	 		",2,2,700,Serilingampally
Unfurnished,"           	 			           	 			18,000           	 		",2,1,1000,Mehdipatnam
Semi-Furnished,"           	 			           	 			16,000           	 		",3,1,1400,Miyapur
Semi-Furnished,"           	 			           	 			15,000           	 		",2,2,1125,Bandlaguda
Unfurnished,"           	 			           	 			10,000           	 		",2,2,950,"Malakpet,"
Unfurnished,"           	 			           	 			8,000           	 		",2,2,1100,Aminpur
Semi-Furnished,"           	 			           	 			30,000           	 		",3,1,1490,Hafeezpet
Furnished,"           	 			           	 			27,000           	 		",2,2,1200,Manikonda
Semi-Furnished,"           	 			           	 			10,000           	 		",2,2,1200,Bandlaguda
Semi-Furnished,"           	 			           	 			20,000           	 		",3,2,2060,Gachibowli
Unfurnished,"           	 			           	 			13,000           	 		",3,3,1250,Hyderabad
Unfurnished,"           	 			           	 			11,000           	 		",2,2,800,Serilingampally
Semi-Furnished,"           	 			           	 			10,000           	 		",2,2,800,"Lakdikapul,"
Unfurnished,"           	 			           	 			8,000           	 		",2,3,1000,Kothapet
Unfurnished,"           	 			           	 			10,000           	 		",2,2,900,Kukatpally
Semi-Furnished,"           	 			           	 			20,000           	 		",3,4,1600,Banjara Hills
Semi-Furnished,"           	 			           	 			21,000           	 		",3,2,1715,Mehdipatnam
Semi-Furnished,"           	 			           	 			15,000           	 		",3,2,2000,Ring
Semi-Furnished,"           	 			           	 			10,000           	 		",2,2,1000,Kukatpally
Unfurnished,"           	 			           	 			15,000           	 		",2,2,1200,Mehdipatnam
Semi-Furnished,"           	 			           	 			11,000           	 		",2,2,1000,"Malakpet,"
Unfurnished,"           	 			           	 			14,500           	 		",2,2,1100,Hafeezpet
Unfurnished,"           	 			           	 			7,500           	 		",2,2,1150,Karmanghat
Semi-Furnished,"           	 			           	 			26,000           	 		",3,2,1550,Banjara Hills
Unfurnished,"           	 			           	 			8,000           	 		",2,2,100,Manikonda
Semi-Furnished,"           	 			           	 			20,000           	 		",3,2,1375,Manikonda
Unfurnished,"           	 			           	 			12,000           	 		",2,2,1000,Nizampet
Unfurnished,"           	 			           	 			14,000           	 		",2,2,950,Nagar
Semi-Furnished,"           	 			           	 			7,500           	 		",2,1,1000,Kukatpally
Semi-Furnished,"           	 			           	 			27,000           	 		",2,2,2100,Gachibowli
Semi-Furnished,"           	 			           	 			11,000           	 		",2,2,1000,Nagar
Semi-Furnished,"           	 			           	 			18,000           	 		",2,2,1100,Puppalaguda
Semi-Furnished,"           	 			           	 			13,500           	 		",2,2,1035,Kukatpally
Semi-Furnished,"           	 			           	 			13,000           	 		",2,1,1300,Manikonda
Semi-Furnished,"           	 			           	 			40,000           	 		",3,2,2800,Banjara Hills
Semi-Furnished,"           	 			           	 			11,000           	 		",3,2,940,Utopia
Furnished,"           	 			           	 			15,000           	 		",3,2,1690,Chandanagar
Semi-Furnished,"           	 			           	 			16,000           	 		",2,1,900,Ameerpet
Semi-Furnished,"           	 			           	 			15,000           	 		",3,3,1500,Suchitra
Semi-Furnished,"           	 			           	 			16,000           	 		",2,1,1300,Banjara Hills
Furnished,"           	 			           	 			15,000           	 		",2,1,750,Tank
Furnished,"           	 			           	 			35,000           	 		",3,3,1570,Kondapur
Unfurnished,"           	 			           	 			8,500           	 		",2,1,1000,Dilsukh Nagar
Semi-Furnished,"           	 			           	 			27,000           	 		",3,2,1700,Madhapur
Unfurnished,"           	 			           	 			18,000           	 		",3,1,1400,Banjara Hills
Unfurnished,"           	 			           	 			15,000           	 		",2,2,1000,Nagar
Semi-Furnished,"           	 			           	 			20,000           	 		",3,1,1800,Chowki
Semi-Furnished,"           	 			           	 			20,000           	 		",3,1,2000,Puppalaguda
Semi-Furnished,"           	 			           	 			20,000           	 		",2,2,1100,Manikonda
Semi-Furnished,"           	 			           	 			9,250           	 		",3,1,1200,Bowenpally
Unfurnished,"           	 			           	 			14,000           	 		",2,2,1200,Kukatpally
Unfurnished,"           	 			           	 			10,000           	 		",2,1,1100,Chandanagar
Semi-Furnished,"           	 			           	 			16,000           	 		",3,3,1265,Kompally
Semi-Furnished,"           	 			           	 			12,000           	 		",2,1,1350,Bandlaguda
Semi-Furnished,"           	 			           	 			14,000           	 		",2,2,1100,Kukatpally
Semi-Furnished,"           	 			           	 			18,000           	 		",3,2,2000,Manikonda
Unfurnished,"           	 			           	 			16,000           	 		",3,1,1650,Manikonda
Semi-Furnished,"           	 			           	 			7,500           	 		",2,1,1430,Bandlaguda
Unfurnished,"           	 			           	 			13,500           	 		",2,2,1280,Banda
Furnished,"           	 			           	 			16,000           	 		",3,1,1200,Amberpet
Unfurnished,"13,000",2,1,850,Kukatpally
Semi-Furnished,"22,000",2,2,1400,Kondapur
Semi-Furnished,"14,500",2,1,1150,Nagar
Semi-Furnished,"20,000",2,1,900,Nagar
Semi-Furnished,"22,000",3,1,1400,Manikonda
Unfurnished,"15,500",2,2,980,Narayanguda
Semi-Furnished,"12,000",2,1,850,Nagar
Semi-Furnished,"9,000",2,1,915,Neredmet
Semi-Furnished,"30,000",3,2,2600,Kondapur
Unfurnished,"23,000",2,1,1200,"Nagar,"
Semi-Furnished,"8,000",2,2,1200,Bachupally
Unfurnished,"14,000",2,4,1150,Kachiguda
Unfurnished,"11,000",2,1,1000,LB Nagar
Unfurnished,"35,000",3,1,1855,Hitech City
Semi-Furnished,"12,000",2,1,91,Miyapur
Semi-Furnished,"28,000",2,2,1314,Gachibowli
Furnished,"15,000",2,2,980,Hafeezpet
Unfurnished,"20,000",3,2,1700,Shaikpet
Furnished,"18,000",2,1,1275,Kukatpally
Unfurnished,"9,000",2,2,1050,"Puram,"
Semi-Furnished,"22,000",2,4,1750,city
Unfurnished,"15,000",2,1,970,KPHB
Unfurnished,"20,000",2,2,1250,Kondapur
Semi-Furnished,"13,000",3,1,1300,Chowki
Semi-Furnished,"16,000",2,2,1260,Tarnaka
Semi-Furnished,"13,000",2,2,1080,Banda
Furnished,"15,000",2,1,1150,Attapur
Semi-Furnished,"25,000",2,2,1314,Narsingi
Unfurnished,"16,500",2,1,1000,"Somajiguda,"
Furnished,"5,000",2,2,925,Secunderabad
Semi-Furnished,"40,000",3,1,1690,Gachibowli
Semi-Furnished,"20,000",3,2,1035,"Nagar,"
Semi-Furnished,"10,000",2,2,1200,Gajularamara
Semi-Furnished,"10,000",2,2,1200,Uppal
Semi-Furnished,"30,000",2,1,1314,Gachibowli
Semi-Furnished,"35,000",3,2,1380,Gachibowli
Semi-Furnished,"21,000",2,1,1125,Kukatpally
Furnished,"45,000",3,2,1580,Whitefields
Semi-Furnished,"30,000",3,1,1580,Hitech City
Furnished,"35,000",3,2,1800,Kondapur
Semi-Furnished,"26,000",3,2,1756,Kondapur
Furnished,"11,000",2,1,1000,Nagar-Karkhana
Furnished,"20,000",3,2,1500,Tarnaka
Furnished,"15,000",2,2,1050,Kukatpally
Unfurnished,"24,000",3,2,1700,"Malakpet,"
Furnished,"15,000",2,1,880,Hyderabad
Unfurnished,"18,000",2,2,1325,Suchitra
Semi-Furnished,"25,000",3,2,2500,"Malakpet,"
Semi-Furnished,"23,000",3,2,1250,Nagar
Furnished,"32,000",3,2,1800,Gachibowli
Semi-Furnished,"14,000",2,2,1200,Attapur
Semi-Furnished,"16,000",2,2,900,Allapur
Unfurnished,"15,000",2,2,1200,"Punjagutta,"
Semi-Furnished,"26,000",2,1,850,Gachibowli
Unfurnished,"14,000",2,2,1100,Chandanagar
Furnished,"12,000",2,1,1000,Jubilee Hills
Semi-Furnished,"35,000",3,2,1450,Hitech City
Semi-Furnished,"21,000",3,2,1600,Serilingampally
Semi-Furnished,"27,000",2,1,1025,Gachibowli
Furnished,"15,000",2,1,880,Hyderabad
Semi-Furnished,"12,000",2,1,1400,Bandlaguda
Unfurnished,"10,000",2,3,1000,Dilsukh Nagar
Unfurnished,"22,000",3,1,1250,Nagar
Semi-Furnished,"30,000",3,2,1868,Hitech City
Semi-Furnished,"20,000",2,1,1200,Serilingampally
Semi-Furnished,"34,000",3,3,1480,Gachibowli
Unfurnished,"15,000",2,1,900,KPHB
Unfurnished,"14,000",3,1,1515,Kukatpally
Unfurnished,"16,000",3,2,1500,Habsiguda
Semi-Furnished,"12,000",2,2,1100,Kukatpally
